TV_PRIMEACCESS,TV_LATEFRINGE,TV_PRIME,TV_DAYTIME,TV_EARLYMORNING,TV_EARLYFRINGE,TV_OVERNIGHT,TOTAL_CONV
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
3.0,4.0,6.0,2.0,0.0,12.0,0.0,0
0.0,4.0,0.0,3.0,1.0,0.0,4.0,0
2.0,10.0,12.0,13.0,0.0,10.0,15.0,0
0.0,0.0,1.0,1.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,2.0,0.0,2.0,0
0.0,1.0,6.0,0.0,0.0,0.0,0.0,0
2.0,8.0,7.0,9.0,2.0,15.0,0.0,0
0.0,0.0,0.0,4.0,3.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,2.0,0
0.0,3.0,0.0,2.0,0.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,2.0,0.0,0
1.0,0.0,0.0,1.0,0.0,3.0,0.0,0
5.0,0.0,5.0,12.0,0.0,30.0,0.0,0
1.0,12.0,4.0,0.0,8.0,7.0,4.0,0
1.0,0.0,2.0,4.0,3.0,2.0,0.0,0
0.0,0.0,0.0,1.0,0.0,3.0,0.0,0
0.0,0.0,0.0,1.0,2.0,0.0,0.0,0
0.0,0.0,0.7,0.0,0.0,0.0,0.0,1
0.0,1.0,1.0,4.0,1.0,4.0,0.0,0
0.0,0.0,0.0,6.0,0.0,1.0,0.0,0
0.0,0.0,0.98,3.14,0.49,2.7,0.0,1
0.0,6.0,7.0,4.0,1.0,4.0,1.0,0
0.0,0.7,0.0,0.0,0.0,0.0,0.0,1
0.0,0.0,0.0,9.0,2.0,5.0,0.0,0
0.0,0.0,0.0,1.0,0.0,4.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,4.0,0.0,2.0,0.0,0
0.0,0.12,1.04,0.92,2.88,0.24,0.0,1
0.0,2.0,3.0,2.0,0.0,12.0,3.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
1.0,0.0,3.0,2.0,0.0,3.0,0.0,0
0.0,2.0,0.0,0.0,1.0,0.0,3.0,0
0.0,6.0,0.0,2.0,0.0,0.0,1.0,0
0.0,5.0,0.0,0.0,0.0,0.0,2.0,0
0.0,0.0,0.0,0.0,1.0,1.0,0.0,0
6.0,3.0,4.0,31.0,3.0,16.0,5.0,0
0.0,1.0,11.0,4.0,0.0,7.0,0.0,0
0.0,0.0,8.0,4.0,0.0,5.0,0.0,0
0.0,0.0,1.0,3.0,4.0,1.0,0.0,0
0.0,0.0,0.0,0.08,0.0,0.0,0.0,1
0.0,0.0,0.0,2.0,3.0,0.0,0.0,0
1.0,2.0,2.0,0.0,0.0,5.0,1.0,0
0.0,0.0,0.0,0.0,0.68,0.0,0.0,1
0.0,0.0,0.0,1.0,9.0,0.0,0.0,0
0.0,3.0,0.0,1.0,0.0,0.0,1.0,0
0.0,1.0,0.0,1.0,0.0,3.0,0.0,0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
1.0,3.0,7.0,1.0,3.0,1.0,12.0,0
0.0,0.0,1.0,1.0,0.0,3.0,0.0,0
1.0,2.0,3.0,3.0,0.0,1.0,0.0,0
0.0,0.0,1.0,0.0,2.0,1.0,0.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.98,0.0,1
0.0,0.0,2.44,11.06,0.0,5.91,0.0,1
3.0,0.0,0.0,13.0,2.0,6.0,0.0,0
0.0,0.0,9.0,4.0,5.0,0.0,2.0,0
0.0,0.0,0.0,0.0,0.0,2.0,6.0,0
1.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,0.12,0.3,0.75,0.0,0.2,0.0,1
0.0,1.0,8.0,0.0,0.0,0.0,4.0,0
0.0,0.0,0.0,3.0,1.0,1.0,0.0,0
1.0,0.0,1.0,2.0,0.0,2.0,0.0,0
0.0,2.0,1.0,2.0,0.0,3.0,0.0,0
0.0,1.0,0.0,9.0,1.0,3.0,0.0,0
0.0,0.0,1.0,0.0,2.0,0.0,0.0,0
0.0,0.0,0.0,1.0,1.0,0.0,2.0,0
0.0,2.0,1.0,0.0,3.0,0.0,2.0,0
0.0,0.0,2.0,4.0,0.0,1.0,0.0,0
1.0,10.0,2.0,0.0,0.0,4.0,2.0,0
1.0,25.0,36.0,3.0,0.0,0.0,1.0,0
0.0,0.0,0.0,0.0,0.0,3.0,0.0,0
2.0,1.0,10.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,2.0,0.0,4.0,0.0,0
0.0,0.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
1.0,1.0,0.0,0.0,0.0,4.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,3.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,13
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
0.0,2.0,1.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,3.0,0.0,0.0,0
0.0,0.0,0.0,0.0,0.0,1.0,0.0,0
0.0,1.0,0.0,0.0,0.0,0.0,0.0,0
0.0,0.0,0.0,1.0,0.0,0.0,0.0,0
